temp,cpu,mem,diskRand,diskSeq
1607112001,951.084646250123,3911.49,1.3447,27.872
1607113801,918.323289406783,3895.14,1.849,39.601
1607115601,921.397467273952,3964.32,1.8841,42.436
1607117401,947.742707683896,3960.42,1.8971,43.408
1607119201,928.887688624831,3878.75,1.8694,12.843
1607121001,935.436494242814,3978.93,1.8841,42.629
1607122801,933.881914008646,3963.61,1.8709,41.154
1607124601,940.759522368752,3902.37,1.8749,12.515
1607126401,936.313791649093,4038.55,1.8819,13.569
1607128201,934.16128360075,3994.38,1.8625,13.571
1607130001,943.378926925225,3972.83,1.8941,43.154
1607131801,959.013264385866,4027.44,1.8498,13.395
1607133601,919.564757130545,3979.33,1.8605,12.914
1607135401,938.074606537783,3949.45,1.9442,49.205
1607137201,941.523801903085,3951.08,1.8763,13.858
1607139001,945.497887095027,3966.2,1.9145,45.193
1607140801,939.959358335126,4000.98,1.6756,45.17
1607142601,938.533553824816,3905.3,1.9025,44.392
1607144401,945.324391053052,4053.16,1.8974,14.968
1607146201,935.671052390311,3839.75,1.9054,12.505
1607148001,928.449616667584,3998.86,1.896,43.591
1607149801,931.977495311523,3948.37,1.8407,13.597
1607151601,930.745456545875,3969.51,1.8694,13.144
1607153401,943.726797326785,3959.78,1.8931,12.374
1607155201,929.877820065916,3924.72,1.9277,47.454
1607157001,934.975477856721,3946.8,1.9176,45.46
1607158801,925.747798239926,3868.49,1.8955,12.65
1607160601,941.787387267241,3911.81,1.899,12.39
1607162401,933.571603606727,3956.51,1.9017,44.381
1607164201,942.434386002347,3892.87,1.8896,43.544
1607166001,933.510039758946,3958.87,1.8979,12.234
1607167801,948.678667815772,3943.2,1.8923,43.903
1607169601,932.606727824668,3991.46,1.8883,12.596
1607171401,937.296821496327,3995.21,1.1872,55.408
1607173201,947.987150570706,3896.46,1.8983,43.876
1607175001,927.417943216656,3867.56,1.8978,12.051
1607176801,946.240825233089,3974.93,1.8932,43.824
1607178601,938.632552153662,3913.67,1.9015,12.18
1607180401,925.640363087746,3877.62,1.8871,12.458
1607182201,940.254717610189,3904.04,1.8224,37.391
1607184001,939.634794842986,3907.89,1.8509,13.918
1607185801,936.948831564593,3989.55,1.1911,52.573
1607187601,955.771301689332,3938.55,1.8798,13.525
1607189401,944.348959679127,3959.77,1.8502,39.931
1607191201,926.473260351705,3969.82,1.8744,13.803
1607193001,924.104017336223,3889.64,1.8306,37.777
1607194801,902.563008187688,3861.78,1.9118,16.29
1607196601,907.40870400192,3880.42,1.832,12.914
1607198401,897.028963521367,3893.75,1.859,40.221
1607200201,947.014656655509,4026.25,1.8769,13.092
1607202001,943.49373588177,3941.13,1.7309,17.98
1607203801,940.047977621557,4020.6,1.9008,43.955
1607205601,932.705195142932,4032.91,1.8699,41.465
1607207401,938.185043117604,4008.86,1.8849,42.399
1607209201,946.511387543218,4211.19,1.9131,45.166
1607211001,940.512606793082,3947.48,1.8928,43.048
1607212801,938.311120002001,3980.94,1.9187,46.047
1607214601,949.378694575122,4022.04,1.9044,43.893
1607216402,938.567918357277,4008.67,1.9033,44.066
1607218201,926.596450516952,3987,1.8478,39.704
1607220001,926.078121171001,3942.64,1.2041,52.82
1607221801,946.207485176177,3969.95,1.9038,12.255
1607223601,933.047934358236,4032.52,1.8927,43.525
1607225401,931.011431133961,3991.28,1.8963,43.927
1607227201,938.723185767535,3968.69,1.8457,39.151
1607229001,925.884249465291,3897.06,1.9278,46.985
1607230801,953.038236554193,4047.35,1.1893,56.889
1607232601,944.324700069513,3888.97,1.9025,44.169
1607234401,931.837618592741,3909.88,1.8882,12.531
1607236201,902.236462202188,3986.16,1.1916,54.942
1607238001,942.618373256471,3978.48,1.1818,55.765
1607239801,933.682518937373,3943.24,1.8707,42.035
1607241601,951.330679309954,4013.41,1.1963,51.051
1607243401,925.177915624067,3888.77,1.8871,13.553
1607245201,931.957003014057,3848.77,1.9446,48.739
1607247001,936.7316081904,3911.52,1.8843,12.868
1607248801,924.715767012303,3946.25,1.897,12.795
1607250601,924.701783049774,3975.13,1.8659,41.24
1607252401,906.752508060134,3787.03,1.8409,38.566
1607254201,892.669288568718,3805.58,1.8384,13.39
1607256001,909.030289896144,3788.58,1.8244,37.456
1607257801,915.750182963322,3933.2,1.8778,14.164
1607259601,938.199119130734,3922.37,1.8769,41.691
1607261401,884.078484722688,3989.63,1.6328,42.814
1607263201,926.51464255886,3961.39,1.8435,38.914
1607265001,918.803668146439,3949.86,1.9041,45.109
1607266801,903.457691993512,3917.48,1.8707,13.36
1607268601,897.02447733725,3820.35,1.2902,46.99
1607270401,901.793751875438,3660.31,1.8321,38.509
1607272201,917.183585082743,3996.57,1.7585,33.255
1607274001,898.227550979581,4065.49,1.8731,13.25
1607275801,881.871937771006,3701.46,1.7538,33.003
1607277601,913.972399950655,3915.89,1.86,40.488
1607279401,929.663822679216,3939.84,1.7618,15.337
1607281201,904.92623155789,3954.31,1.8603,13.92
1607283001,866.862277645333,3900.76,1.8283,37.912
1607284801,933.201080252059,3839.07,1.8265,13.95
